"id","air_conditioning","amenities","balconies","barrier_free_accessibilty_entr","bike_parking","exterior_fire_escape","fire_alarm","garbage_chutes","heating_type","intercom","laundry_room","locker_or_storage_room","no_of_elevators","parking_type","pets_allowed","prop_management_company_name","property_type","rsn","separate_gas_meters","separate_hydro_meters","separate_water_meters","site_address","sprinkler_system","visitor_parking","ward","window_type","year_built","year_registered","no_of_storeys","emergency_power","non-smoking_building","no_of_units","no_of_accessible_parking_spaces","facilities_available","cooling_room","no_barrier_free_accessible_units","age_build"
10369,"NONE",NA,"NO","YES","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Underground Garage","YES",NA,"PRIVATE",4156004,"NO","NO","NO","34  ROSECLIFFE AVE","NO","UNAVAILABLE","09","DOUBLE PANE",1945,2018,4,"YES","NO",26,12,"Green Bin / Organics","NO",25,"1935-1950"
10370,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Ground Level Garage , Surface Parking","NO","WALL REAL ESTATE","PRIVATE",4152685,"NO","YES","NO","2303  EGLINTON AVE E","YES","BOTH","20","DOUBLE PANE",1968,2017,7,"NO","YES",169,0,"Green Bin / Organics","NO",0,"Post 1950"
10371,"NONE",NA,"YES","YES","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",2,"Surface Parking","YES","SIGNET GROUP INC","PRIVATE",4152689,"NO","YES","NO","740  MIDLAND AVE","YES","FREE","20","DOUBLE PANE",1959,2017,5,"NO","NO",87,1,"Recycling bins","NO",0,"Post 1950"
10372,"NONE",NA,"YES","NO","0 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",1,"Ground Level Garage , Surface Parking",NA,"GLOBAL PROPERTIES LTD","PRIVATE",4152691,"NO","NO","NO","711  KENNEDY RD","NO","UNAVAILABLE","20","SINGLE PANE",1958,2018,6,"NO","YES",79,NA,"Green Bin / Organics","NO",NA,"Post 1950"
10373,"NONE","Indoor recreation room","YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",2,"Ground Level Garage , Carport , Surface Parking","YES","NORTHVIEW APARTMENT REIT","PRIVATE",4152694,"NO","YES","NO","19  ROSEMOUNT DR","YES","FREE","21","DOUBLE PANE",1960,2017,7,"YES","NO",71,2,"Recycling bins","NO",0,"Post 1950"
10374,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage , Surface Parking","YES",NA,"PRIVATE",4154315,"NO","YES","NO","2637  KEELE ST","NO","FREE","05","DOUBLE PANE",1958,2017,3,"NO","YES",12,12,"Green Bin / Organics","NO",0,"Post 1950"
10375,"NONE",NA,"YES","YES","Not Available","YES","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","1411080 ONTARIO LIMITED","PRIVATE",4154331,"NO","NO","NO","1795  JANE ST","YES","FREE","05","DOUBLE PANE",1960,2017,10,"NO","NO",105,4,"Recycling bins","NO",0,"Post 1950"
10376,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage , Surface Parking","YES",NA,"PRIVATE",4154336,"NO","YES","NO","2550  KEELE ST","NO","UNAVAILABLE","05","DOUBLE PANE",1955,2017,3,"NO","NO",12,12,"Green Bin / Organics","NO",0,"Post 1950"
10377,"CENTRAL AIR","Indoor pool , Indoor recreation room , Indoor exercise room , Sauna","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4155675,"NO","YES","NO","4005  BAYVIEW AVE","YES","FREE","17","DOUBLE PANE",1971,2017,12,"YES","NO",235,0,"Green Bin / Organics","YES",235,"Post 1950"
10378,"NONE",NA,"YES","NO","0 indoor parking spots and 7 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","GOLD SEAL MANAGEMENT INC.","PRIVATE",4155684,"NO","YES","NO","34  BROOKWELL DR","YES","FREE","06","THERMAL",1964,2017,4,"NO","NO",44,0,"Recycling bins","NO",0,"Post 1950"
10379,"NONE",NA,"YES","NO","Not Available","YES","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4166732,"NO","NO","NO","80  FOREST MANOR RD","YES","FREE","17","DOUBLE PANE",1965,2017,18,"NO","NO",287,2,"Green Bin / Organics","YES",0,"Post 1950"
10380,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage , Surface Parking","YES","WILANMAR HOLDINGS LTD.","PRIVATE",4154177,"NO","YES","NO","871  MILLWOOD RD","NO","UNAVAILABLE","15","DOUBLE PANE",1947,2017,3,"NO","YES",15,12,"Green Bin / Organics","NO",0,"1935-1950"
10381,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Surface Parking","YES",NA,"PRIVATE",4154663,"NO","YES","NO","3575  BATHURST ST","YES","FREE","08","SINGLE PANE",1960,2017,7,"YES","NO",61,0,"Green Bin / Organics","NO",0,"Post 1950"
10382,"INDIVIDUAL UNITS",NA,"NO",NA,"8 indoor parking spots and 0 outdoor parking spots",NA,"YES","NO","HOT WATER","YES","YES","YES",0,"Surface Parking","YES",NA,"PRIVATE",4155185,"NO","NO","NO","1061  WESTON RD","NO","UNAVAILABLE","05","DOUBLE PANE",1952,2019,3,"YES",NA,11,NA,"Green Bin / Organics","NO",NA,"Post 1950"
10383,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Surface Parking","YES","MONTEREY PARK INC.","PRIVATE",4155197,"NO","YES","NO","890  JANE ST","YES","PAID","05","DOUBLE PANE",1973,2017,15,"NO","YES",146,0,"Green Bin / Organics","NO",0,"Post 1950"
10384,"NONE",NA,"YES","YES","Not Available","YES","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Ground Level Garage , Surface Parking","YES","ROCK RIDGE INVESTMENTS","PRIVATE",4155692,"NO","YES","NO","1875  MARTIN GROVE RD","YES","FREE","01","DOUBLE PANE",1971,2017,12,"YES","YES",88,4,"Green Bin / Organics","NO",88,"Post 1950"
10385,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","FORCED AIR GAS","YES","YES","NO",3,"Underground Garage , Garage accessible thru buildg","NO","NEIGHBOURHOOD LINK HOMES","SOCIAL HOUSING",4155704,"NO","YES","NO","656  KINGSTON RD","YES","UNAVAILABLE","19","SINGLE PANE",1994,2017,6,"YES","NO",106,2,"Green Bin / Organics","YES",4,"Post 1950"
10386,"NONE","Indoor exercise room","YES","NO","12 indoor parking spots and 90 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg","YES","MEDALLION CORPORATION","PRIVATE",4155710,"NO","YES","NO","55  LISGAR ST","YES","UNAVAILABLE","09","DOUBLE PANE",2005,2017,9,"YES","YES",116,0,"Green Bin / Organics","NO",0,"Post 1950"
10387,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg","YES",NA,"PRIVATE",4155740,"NO","YES","NO","4222  BATHURST ST","YES","FREE","06","DOUBLE PANE",1967,2017,8,"NO","NO",77,1,"Recycling bins","YES",77,"Post 1950"
10388,"NONE","Outdoor pool","NO","YES","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","COGIR MANAGEMENT CORPORATION","PRIVATE",4155751,"NO","NO","NO","1465  LAWRENCE AVE W","YES","FREE","05","DOUBLE PANE",1969,2017,20,"YES","NO",161,1,"Green Bin / Organics","NO",1,"Post 1950"
10389,"NONE",NA,"YES","YES","0 indoor parking spots and 18 outdoor parking spots","NO","YES","NO","HOT WATER","NO","YES","NO",0,"Ground Level Garage , Surface Parking","NO",NA,"PRIVATE",4155753,"NO","YES","NO","336  CLINTON ST","NO","FREE","11","DOUBLE PANE",1992,2017,3,"NO","YES",17,17,"Green Bin / Organics","NO",5,"Post 1950"
10390,"NONE",NA,"NO","YES","Not Available","NO","YES","NO","HOT WATER","NO","YES","YES",0,"Ground Level Garage","NO",NA,"PRIVATE",4167688,"NO","NO","NO","29  GLEN EVEREST RD","NO","FREE","20","DOUBLE PANE",1971,2017,3,"NO","YES",11,0,"Recycling bins","NO",0,"Post 1950"
10391,"INDIVIDUAL UNITS",NA,"YES","YES","75 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg","YES",NA,"PRIVATE",4167698,"NO","YES","NO","40-50  ALEXANDER ST","NO","BOTH","13","DOUBLE PANE",1963,2017,19,"YES","NO",244,5,"Green Bin / Organics","YES",0,"Post 1950"
10392,"CENTRAL AIR","Indoor recreation room , Indoor exercise room , Child play area","YES","YES","71 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","MEDALLION CORPORATION","PRIVATE",4167765,"NO","NO","NO","550  BIRCHMOUNT RD","YES","BOTH","20","DOUBLE PANE",2011,2017,10,"YES","YES",153,3,"Green Bin / Organics","YES",2,"Post 1950"
10393,"NONE",NA,"YES","YES","36 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","SIGNET GROUP INC","PRIVATE",4152586,"NO","YES","NO","2570  KINGSTON RD","YES","FREE","20","DOUBLE PANE",1968,2017,10,"NO","NO",117,2,"Green Bin / Organics","NO",2,"Post 1950"
10394,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","ELECTRIC","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","METCAP LIVING MANAGEMENT INC","PRIVATE",4152589,"NO","NO","NO","10  MACEY AVE","YES","FREE","20","DOUBLE PANE",1969,2017,16,"YES","NO",255,0,"Green Bin / Organics","NO",0,"Post 1950"
10395,"NONE","Outdoor pool , Indoor recreation room","YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","YES","35 CANYON AVENUE LTD.","PRIVATE",4154699,"NO","YES","NO","35  CANYON AVE","YES","FREE","06","DOUBLE PANE",1959,2017,21,"YES","NO",237,1,"Recycling bins","NO",0,"Post 1950"
10396,"NONE","Indoor recreation room","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Surface Parking","YES",NA,"TCHC",4154700,"NO","NO","NO","4455  BATHURST ST","YES","BOTH","06","DOUBLE PANE",1980,2017,14,"YES","YES",301,4,"Unknown","NO",4,"Post 1950"
10397,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",1,"Surface Parking","YES","MONTEREY PARK INC.","PRIVATE",4154710,"NO","YES","NO","292  FINCH AVE W","NO","PAID","18","SINGLE PANE",1959,2017,4,"NO","YES",39,0,"Recycling bins","NO",0,"Post 1950"
10398,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","YES",NA,"PRIVATE",4155206,"NO","NO","NO","596  JANE ST","NO","UNAVAILABLE","04","DOUBLE PANE",1958,2017,3,"NO","YES",17,0,"Green Bin / Organics","NO",0,"Post 1950"
10399,NA,NA,NA,NA,"indoor parking spots and  outdoor parking spots",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"PRIVATE",4155207,NA,NA,NA,"585  JANE ST",NA,NA,"04","DOUBLE PANE",1955,NA,4,NA,NA,25,NA,"Not Available",NA,NA,"Post 1950"
10400,"INDIVIDUAL UNITS",NA,"YES","NO","16 indoor parking spots and 16 outdoor parking spots","NO","YES","NO","FORCED AIR GAS","NO","YES","YES",0,"Surface Parking","YES","ITG","PRIVATE",4155213,"NO","YES","NO","2696  BLOOR ST W","NO","FREE","03","DOUBLE PANE",1957,2017,3,"YES","YES",15,0,"Green Bin / Organics","NO",0,"Post 1950"
10401,"NONE",NA,"NO","NO","0 indoor parking spots and 9 outdoor parking spots","YES","YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage , Surface Parking","YES",NA,"PRIVATE",4155215,"NO","YES","NO","100  BROWNS LINE","NO","UNAVAILABLE","03","DOUBLE PANE",1954,2017,3,"NO","YES",22,22,"Green Bin / Organics","NO",0,"Post 1950"
10402,"CENTRAL AIR",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","E. MANSON INVESTMENTS LIMITED","PRIVATE",4155225,"YES","YES","NO","8  LOMOND DR","YES","FREE","03","DOUBLE PANE",1973,2017,24,"YES","NO",184,2,"Green Bin / Organics","NO",0,"Post 1950"
10403,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Underground Garage , Ground Level Garage , Surface Parking","YES",NA,"PRIVATE",4155227,"NO","YES","NO","301  PARK LAWN RD","NO","UNAVAILABLE","03","DOUBLE PANE",1957,2017,4,"NO","NO",25,0,"Green Bin / Organics","NO",0,"Post 1950"
10404,"NONE",NA,"NO","YES","0 indoor parking spots and 4 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage , Surface Parking","NO",NA,"PRIVATE",4155763,"NO","YES","NO","8  SAND BEACH RD","NO","UNAVAILABLE","03","DOUBLE PANE",1966,2017,3,"NO","YES",24,25,"Green Bin / Organics","NO",2,"Post 1950"
10405,"NONE","Outdoor pool , Outdoor rec facilities , Child play area","YES","NO","indoor parking spots and  outdoor parking spots",NA,"YES","YES","HOT WATER","YES","YES","NO",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","35 CEDARCROFT BOULEVARD LTD","PRIVATE",4155776,"NO","NO","NO","35  CEDARCROFT BLVD","YES","FREE","06","DOUBLE PANE",1967,2017,13,"YES","YES",207,NA,"Green Bin / Organics","NO",NA,"Post 1950"
10406,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Surface Parking","YES","TCH","TCHC",4155781,"NO","NO","NO","111  KENDLETON DR","YES","PAID","01","DOUBLE PANE",1965,2017,7,"YES","YES",58,3,"Green Bin / Organics","NO",2,"Post 1950"
10407,"NONE",NA,"NO","YES","Not Available","NO","YES","YES","ELECTRIC","YES","YES","NO",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","DMS PROPERTY MANAGEMENT LTD.","SOCIAL HOUSING",4168986,"NO","NO","NO","30  HUMBERLINE DR","YES","FREE","01","DOUBLE PANE",1984,2017,19,"YES","NO",176,1,"Green Bin / Organics","NO",8,"Post 1950"
10408,"INDIVIDUAL UNITS",NA,"NO","YES","Not Available","NO","YES","NO","HOT WATER","NO","YES","YES",1,"Carport , Surface Parking","NO",NA,"SOCIAL HOUSING",4169166,"NO","NO","NO","1674  EGLINTON AVE W","YES","FREE","08","DOUBLE PANE",1960,2017,4,"NO","NO",40,1,"Unknown","YES",3,"Post 1950"
10409,"NONE",NA,"YES","NO","Not Available","YES","YES","NO","HOT WATER","NO","NO","NO",0,NA,"YES",NA,"PRIVATE",4169241,"NO","YES","NO","42  VAUGHAN RD","NO","UNAVAILABLE","12","DOUBLE PANE",1928,2017,3,"NO","YES",15,0,"Green Bin / Organics","NO",0,"Pre 1935"
10410,"CENTRAL AIR","Indoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Sauna","NO","YES","18 indoor parking spots and 0 outdoor parking spots","YES","YES","YES","HOT WATER","YES","YES","NO",3,"Underground Garage , Garage accessible thru buildg","YES","BENTALL KENNEDY","PRIVATE",4171378,"NO","YES","NO","700  BAY ST","YES","UNAVAILABLE","11","DOUBLE PANE",1973,2017,22,"YES","NO",220,61,"Green Bin / Organics","YES",220,"Post 1950"
10411,"NONE","Indoor pool , Sauna","YES","YES","311 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",4,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4171428,"NO","YES","NO","77  DAVISVILLE AVE","YES","PAID","12","DOUBLE PANE",1970,2017,30,"YES","NO",483,1,"Green Bin / Organics","YES",0,"Post 1950"
10412,"NONE",NA,"NO","NO","0 indoor parking spots and 8 outdoor parking spots","YES","YES","NO","HOT WATER","YES","YES","NO",0,"Carport , Surface Parking","YES","GREENWIN INC.","PRIVATE",4152557,"NO","YES","NO","2402  QUEEN ST E","NO","UNAVAILABLE","20","DOUBLE PANE",1932,2017,4,"YES","NO",21,0,"Recycling bins","NO",0,"Pre 1935"
10413,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage , Surface Parking","YES","JELCOR INVESTMENTS","PRIVATE",4152574,"NO","YES","NO","1336  KINGSTON RD","YES","UNAVAILABLE","20","DOUBLE PANE",1959,2018,4,"NO","NO",37,0,"Green Bin / Organics",NA,0,"Post 1950"
10414,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Ground Level Garage , Surface Parking","NO","PARKETTE PLACE APTS INC.","PRIVATE",4152577,"NO","NO","NO","25  PARKETTE PL","YES","FREE","20","DOUBLE PANE",1959,2017,5,"YES","YES",61,53,"Green Bin / Organics","NO",0,"Post 1950"
10415,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Underground Garage","YES",NA,"PRIVATE",4153372,"NO","YES","NO","82  WARREN RD","NO","UNAVAILABLE","12","DOUBLE PANE",1965,2017,7,"YES","NO",49,0,"Recycling bins","YES",0,"Post 1950"
10416,"NONE",NA,"NO","NO","0 indoor parking spots and 10 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Underground Garage , Surface Parking","NO","RANEE MANAGEMENT","PRIVATE",4153375,"NO","YES","NO","268  POPLAR PLAINS RD","NO","UNAVAILABLE","12","DOUBLE PANE",1959,2017,10,"YES","NO",59,0,"Green Bin / Organics","NO",0,"Post 1950"
10417,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","TIMBERCREEK COMMUNITIES","PRIVATE",4153926,"NO","YES","NO","125  LAWTON BLVD","YES","PAID","12","DOUBLE PANE",1962,2018,12,"NO","NO",122,0,"Recycling bins","NO",0,"Post 1950"
10418,"NONE",NA,"YES","YES","0 indoor parking spots and 20 outdoor parking spots","YES","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4153929,"NO","YES","NO","19  LASCELLES BLVD","YES","FREE","12","DOUBLE PANE",1957,2017,17,"NO","YES",157,0,"Green Bin / Organics","NO",157,"Post 1950"
10419,"NONE",NA,"YES","YES","0 indoor parking spots and 25 outdoor parking spots","YES","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4153930,"NO","YES","NO","21  LASCELLES BLVD","YES","FREE","12","DOUBLE PANE",1957,2017,17,"NO","YES",173,0,"Green Bin / Organics","NO",173,"Post 1950"
10420,"NONE",NA,"YES","YES","0 indoor parking spots and 20 outdoor parking spots","YES","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4153932,"NO","YES","NO","25  LASCELLES BLVD","YES","FREE","12","DOUBLE PANE",1957,2017,17,"NO","YES",235,0,"Green Bin / Organics","NO",235,"Post 1950"
10421,"NONE","Indoor recreation room","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",1,"Underground Garage , Garage accessible thru buildg","YES",NA,"TCHC",4153964,"NO","NO","NO","840  EGLINTON AVE W","YES","UNAVAILABLE","08","SINGLE PANE",1941,2017,4,"YES","YES",40,6,"Recycling bins","NO",1,"1935-1950"
10422,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Ground Level Garage , Garage accessible thru buildg","YES","ELDEBRON HOLDINGS LIMITED","PRIVATE",4153981,"NO","YES","NO","525  CHAPLIN CRES","YES","FREE","08","DOUBLE PANE",1961,2017,8,"NO","NO",110,98,"Recycling bins","NO",0,"Post 1950"
10423,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Ground Level Garage , Garage accessible thru buildg","YES","ELDEBRON HOLDINGS LIMITED","PRIVATE",4153982,"NO","YES","NO","515  CHAPLIN CRES","YES","FREE","08","DOUBLE PANE",1961,2017,8,"NO","NO",111,94,"Green Bin / Organics","NO",0,"Post 1950"
10424,"NONE",NA,"NO","NO","Not Available","YES","YES","NO","HOT WATER","YES","NO","NO",0,"Carport , Surface Parking","YES",NA,"PRIVATE",4153441,"NO","YES","NO","260  SHERBOURNE ST","YES","UNAVAILABLE","13","DOUBLE PANE",1809,2017,4,"NO","NO",10,4,"Green Bin / Organics","NO",0,"Pre 1935"
10425,"NONE",NA,"NO","YES","Not Available","NO","YES","YES","HOT WATER","NO","YES","NO",2,"Ground Level Garage , Surface Parking","NO","BRADLEY COURT LTD.","PRIVATE",4153443,"NO","NO","NO","280  DUNDAS ST E","YES","UNAVAILABLE","13","SINGLE PANE",1973,2017,11,"NO","NO",241,39,"Green Bin / Organics","NO",241,"Post 1950"
10426,"CENTRAL AIR","Indoor recreation room , Outdoor rec facilities , Child play area","YES","YES","40 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"SOCIAL HOUSING",4153457,"NO","NO","NO","80  DUNDAS ST E","YES","UNAVAILABLE","13","DOUBLE PANE",1995,2017,15,"YES","NO",138,1,"Green Bin / Organics","YES",8,"Post 1950"
10427,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,NA,"YES",NA,"PRIVATE",4154002,"NO","NO","NO","166  EASTBOURNE AVE","YES","UNAVAILABLE","12","DOUBLE PANE",1940,2017,3,"NO","YES",21,0,"Green Bin / Organics","NO",0,"1935-1950"
10428,"INDIVIDUAL UNITS",NA,"YES","YES","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage , Surface Parking","YES",NA,"PRIVATE",4154006,"NO","YES","NO","1112  AVENUE RD","YES","UNAVAILABLE","08","DOUBLE PANE",1961,2017,4,"NO","YES",13,6,"Green Bin / Organics","NO",1,"Post 1950"
10429,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",0,"Underground Garage , Garage accessible thru buildg , Surface Parking","NO",NA,"PRIVATE",4154011,"NO","YES","NO","118  MONTGOMERY AVE","YES","FREE","08","DOUBLE PANE",1952,2017,3,"NO","NO",109,0,"Green Bin / Organics","NO",0,"Post 1950"
